"","id","Longitude","Latitude","JLSA","A1","A3","A9","A10","B3","B4","C1","C2","C7","D2","D5","D6","F3","F5","G2","I14","I22","I23","I24","I25","H6","H8"
"42",54488,-109.604328,27.377658,"Ahome","Si","Si","Entierro sin tratar","Entierro sin tratar","Si","Si","0","Si",NA,"0","Si","ImportaciÌ_n de larvas","4","12","11","0","0","0","0","Si","0","Si"
"43",54605,-109.329067,26.10145,"Ahome","0","0","Entierro con cal y tierra","Incineraci—n","Si","0","0","Si","ninguno","Si","0","Otros","15","6","30","Si","0","Si","0","0","0","Si"
"44",54677,-109.604111,26.375139,"Ahome","0","0","Entierro sin tratar","Entierro sin tratar","Si","0","0","Si",NA,"0","0",NA,"8","10","10","0","0","0","0","0","Si","Si"
"45",54711,-107.4693,24.29633,"Eldorado","Si","Si","Entierro con cal y tierra","Entierro sin tratar","Si","Si","Si","Si",NA,"0","Si",NA,"2","8","6","0","Si","0","0","0","0","Si"
"46",54715,0,0,"Eldorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",54725,-106.315444,23.165647,"Mazatl‡n-San Ignacio","0","0","Incineraci—n","Incineraci—n","0","Si","Si","Si","filtracion","Si","Si","Siembra de organismos silvestres","9","10","20","0","0","0","Si","Si","0","Si"
"48",54725,0,0,"Mazatl‡n-San Ignacio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",54743,-109.377611,25.823497,"Ahome","0","0","Entierro sin tratar","Entierro sin tratar","Si","0","0","0",NA,"Si","0","ImportaciÌ_n de reproductores","8","10","3","Si","0","0","0","0","0","Si"
"50",54743,-107.92566,24.7539,"Navolato Norte","0","0","Entierro con cal y tierra","Incineraci—n","Si","Si","Si","Si","ninguno","0","0","ImportaciÌ_n de reproductores","1","4","20","0","Si","0","Si","Si","Si","Si"
"51",55016,0,0,"Eldorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",55028,0,0,"Eldorado","0","0","0","Incineraci—n","Si","0","0","Si","ninguno","0","0","ImportaciÌ_n de reproductores","4","10","10","0","0",NA,"Si","Si","Si","Si"
"53",55087,0,0,"Ahome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",55175,0,0,"Eldorado","0","0","0","Incineraci—n","Si","0","0","Si","ninguno","0","0","ImportaciÌ_n de reproductores","5","10","7","0","0",NA,"Si","Si","Si","Si"
"55",55175,0,0,"Eldorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",55177,0,0,"Eldorado","0","0","0","Incineraci—n","Si","0","0","Si","ninguno","0","0","ImportaciÌ_n de reproductores","2","10","20","0","0","0","Si","Si","Si","Si"
"57",55177,-107.64493,24.50343,"Navolato Sur","0","0","Entierro con cal y tierra","Incineraci—n","Si","Si","Si","Si","filtracion","0","Si","ImportaciÌ_n de reproductores","1","8","8","0","Si","0","Si","Si","Si",NA
"58",55211,0,0,"Mazatl‡n-San Ignacio","Si","Si",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",55211,0,0,"Mazatl‡n-San Ignacio",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",55224,0,0,"Rosario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",55225,0,0,"Eldorado","0","0","Entierro sin tratar","Incineraci—n","Si","0","Si","Si","ninguno","0","0","ImportaciÌ_n de reproductores","3","10","30","0","0",NA,"Si","Si","Si","Si"
"62",55234,-109.345167,26.097397,"Ahome","Si","Si","Entierro con cal y tierra","Incineraci—n","Si","0","0","Si","ninguno","Si","Si","ImportaciÌ_n de larvas","83","10","15","Si","0","Si","0","0","0","Si"
"63",55296,-108.611022,25.367236,"Guasave Norte","Si","Si","Incineraci—n","Incineraci—n","Si","0","Si","Si","ninguno","0","Si","ImportaciÌ_n de reproductores; ImportaciÌ_n de larvas","15","10","20","Si","Si","0","Si","Si","Si","Si"
"64",55348,-109.106925,26.295917,"Ahome","0","0","Incineraci—n","Incineraci—n","Si","0","0","Si","ninguno","Si","Si","ImportaciÌ_n de larvas; ImportaciÌ_n de reproductores","14","7","18","Si","0",NA,"0","0","0","Si"
"65",55379,0,0,"Eldorado","Si","Si","Entierro sin tratar","Incineraci—n","Si","Si","Si","0","filtracion","0","Si",NA,"1","7","4","Si","0","0","0","0","0","Si"
"66",55402,-106.292108,23.141064,"Mazatl‡n-San Ignacio","Si","Si","Entierro con cal y tierra","Incineraci—n","Si","Si","Si","Si",NA,"0","Si","ImportaciÌ_n de reproductores; Otros","58","10","14","Si","Si","0","Si","Si","0","Si"
"67",55433,0,0,"Guasave Sur","Si","Si","0","Incineraci—n","0","0","0","0","ninguno","0","0","ImportaciÌ_n de reproductores","1",NA,"8","0","0","0","0","0","0","0"
"68",55433,-108.396461,25.324583,"Guasave Sur","Si","Si","0","Incineraci—n","Si","0","0","0","filtracion","Si","0","ImportaciÌ_n de reproductores","2","10","18","Si","Si","0","0","0","0","Si"
"69",55436,-106.340253,23.190817,"Mazatl‡n-San Ignacio","0","0","Incineraci—n","Incineraci—n","0","0","Si","Si","ninguno","0","Si","Siembra de organismos silvestres","8","200","1","0","0","0","0","0","0","0"
"70",55436,0,23.234081,"Mazatl‡n-San Ignacio","0","0","Entierro sin tratar","Entierro sin tratar","0","0","Si","Si","ninguno","0","Si","Siembra de organismos silvestres","6","300","2","0","0","0","0","0","0","Si"
"71",55438,-107.84373,24.61025,"Navolato Sur","Si","Si","Entierro con cal y tierra","Incineraci—n","Si","Si","Si","Si","filtracion","Si","Si","ImportaciÌ_n de larvas","14","7","20","0","Si","0","Si","Si","Si","Si"
"72",55441,0,0,"Rosario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
